Date	BRENT
29.12.2017	66.87
28.12.2017	66.72
27.12.2017	66.44
26.12.2017	67.02
22.12.2017	65.25
21.12.2017	64.9
20.12.2017	64.56
19.12.2017	63.8
18.12.2017	63.41
15.12.2017	63.23
14.12.2017	63.31
13.12.2017	62.44
12.12.2017	63.34
11.12.2017	64.69
08.12.2017	63.4
07.12.2017	62.2
06.12.2017	61.22
05.12.2017	62.86
04.12.2017	62.45
01.12.2017	63.73
30.11.2017	63.57
29.11.2017	63.11
28.11.2017	63.61
27.11.2017	63.84
24.11.2017	63.86
23.11.2017	63.55
22.11.2017	63.32
21.11.2017	62.57
20.11.2017	62.22
17.11.2017	62.72
16.11.2017	61.36
15.11.2017	61.87
14.11.2017	62.21
13.11.2017	63.16
10.11.2017	63.52
09.11.2017	63.93
08.11.2017	63.49
07.11.2017	63.69
06.11.2017	64.27
03.11.2017	62.07
02.11.2017	60.62
01.11.2017	60.49
31.10.2017	61.37
30.10.2017	60.9
27.10.2017	60.44
26.10.2017	59.3
25.10.2017	58.44
24.10.2017	58.33
23.10.2017	57.37
20.10.2017	57.75
19.10.2017	57.23
18.10.2017	58.15
17.10.2017	57.88
16.10.2017	57.82
13.10.2017	57.17
12.10.2017	56.25
11.10.2017	56.94
10.10.2017	56.61
09.10.2017	55.79
06.10.2017	55.62
05.10.2017	57
04.10.2017	55.8
03.10.2017	56
02.10.2017	56.12
29.09.2017	57.54
28.09.2017	57.41
27.09.2017	57.9
26.09.2017	58.44
25.09.2017	59.02
22.09.2017	56.86
21.09.2017	56.43
20.09.2017	56.29
19.09.2017	55.14
18.09.2017	55.48
15.09.2017	55.62
14.09.2017	55.47
13.09.2017	55.16
12.09.2017	54.27
11.09.2017	53.84
08.09.2017	53.78
07.09.2017	54.49
06.09.2017	54.2
05.09.2017	53.38
04.09.2017	52.34
01.09.2017	52.75
31.08.2017	52.38
30.08.2017	50.86
29.08.2017	52
28.08.2017	51.89
25.08.2017	52.41
24.08.2017	52.04
23.08.2017	52.57
22.08.2017	51.87
21.08.2017	51.66
18.08.2017	52.72
17.08.2017	51.03
16.08.2017	50.27
15.08.2017	50.8
14.08.2017	50.73
11.08.2017	52.1
10.08.2017	51.9
09.08.2017	52.7
08.08.2017	52.14
07.08.2017	52.37
04.08.2017	52.42
03.08.2017	52.01
02.08.2017	52.36
01.08.2017	51.78
31.07.2017	52.65
28.07.2017	52.52
27.07.2017	51.49
26.07.2017	50.97
25.07.2017	50.2
24.07.2017	48.6
21.07.2017	48.06
20.07.2017	49.3
19.07.2017	49.7
18.07.2017	48.84
17.07.2017	48.42
14.07.2017	48.91
13.07.2017	48.42
12.07.2017	47.74
11.07.2017	47.52
10.07.2017	46.88
07.07.2017	46.71
06.07.2017	48.11
05.07.2017	47.79
04.07.2017	49.61
03.07.2017	49.68
30.06.2017	47.92
29.06.2017	47.42
28.06.2017	47.31
27.06.2017	46.65
26.06.2017	45.83
23.06.2017	45.54
22.06.2017	45.22
21.06.2017	44.82
20.06.2017	46.02
19.06.2017	46.91
16.06.2017	47.37
15.06.2017	46.92
14.06.2017	47
13.06.2017	48.72
12.06.2017	48.29
09.06.2017	48.15
08.06.2017	47.86
07.06.2017	48.06
06.06.2017	50.12
05.06.2017	49.47
02.06.2017	49.95
01.06.2017	50.63
31.05.2017	50.31
30.05.2017	51.84
29.05.2017	52.29
26.05.2017	52.15
25.05.2017	51.46
24.05.2017	53.96
23.05.2017	54.15
22.05.2017	53.87
19.05.2017	53.61
18.05.2017	52.51
17.05.2017	52.21
16.05.2017	51.65
15.05.2017	51.82
12.05.2017	50.84
11.05.2017	50.77
10.05.2017	50.22
09.05.2017	48.73
08.05.2017	49.34
05.05.2017	49.1
04.05.2017	48.38
03.05.2017	50.79
02.05.2017	50.46
01.05.2017	51.52
28.04.2017	51.73
27.04.2017	51.44
26.04.2017	51.82
25.04.2017	52.1
24.04.2017	51.6
21.04.2017	51.96
20.04.2017	52.99
19.04.2017	52.93
18.04.2017	54.89
17.04.2017	55.36
13.04.2017	55.89
12.04.2017	55.86
11.04.2017	56.23
10.04.2017	55.98
07.04.2017	55.24
06.04.2017	54.89
05.04.2017	54.36
04.04.2017	54.17
03.04.2017	53.12
31.03.2017	52.83
30.03.2017	52.96
29.03.2017	52.42
28.03.2017	51.33
27.03.2017	50.75
24.03.2017	50.8
23.03.2017	50.56
22.03.2017	50.64
21.03.2017	50.96
20.03.2017	51.62
17.03.2017	51.76
16.03.2017	51.74
15.03.2017	51.81
14.03.2017	50.92
13.03.2017	51.35
10.03.2017	51.37
09.03.2017	52.19
08.03.2017	53.11
07.03.2017	55.92
06.03.2017	56.01
03.03.2017	55.9
02.03.2017	55.08
01.03.2017	56.36
28.02.2017	55.59
27.02.2017	55.93
24.02.2017	55.99
23.02.2017	56.58
22.02.2017	55.84
21.02.2017	56.66
20.02.2017	56.18
17.02.2017	55.81
16.02.2017	55.65
15.02.2017	55.75
14.02.2017	55.97
13.02.2017	55.59
10.02.2017	56.7
09.02.2017	55.63
08.02.2017	55.12
07.02.2017	55.05
06.02.2017	55.72
03.02.2017	56.81
02.02.2017	56.56
01.02.2017	56.8
31.01.2017	55.7
30.01.2017	55.23
27.01.2017	55.52
26.01.2017	56.24
25.01.2017	55.08
24.01.2017	55.44
23.01.2017	55.23
20.01.2017	55.49
19.01.2017	54.16
18.01.2017	53.92
17.01.2017	55.47
16.01.2017	55.86
13.01.2017	55.45
12.01.2017	56.01
11.01.2017	55.1
10.01.2017	53.64
09.01.2017	54.94
06.01.2017	57.1
05.01.2017	56.89
04.01.2017	56.46
03.01.2017	55.47
30.12.2016	56.82
29.12.2016	56.14
28.12.2016	56.22
27.12.2016	56.09
23.12.2016	55.16
22.12.2016	55.05
21.12.2016	54.46
20.12.2016	55.35
19.12.2016	54.92
16.12.2016	55.21
15.12.2016	54.02
14.12.2016	53.9
13.12.2016	55.72
12.12.2016	55.69
09.12.2016	54.33
08.12.2016	53.89
07.12.2016	53
06.12.2016	53.93
05.12.2016	54.94
02.12.2016	54.46
01.12.2016	53.94
30.11.2016	50.47
29.11.2016	46.38
28.11.2016	48.24
25.11.2016	47.24
24.11.2016	49
23.11.2016	48.95
22.11.2016	49.12
21.11.2016	48.9
18.11.2016	46.86
17.11.2016	46.49
16.11.2016	46.63
15.11.2016	46.95
14.11.2016	44.43
11.11.2016	44.75
10.11.2016	45.84
09.11.2016	46.36
08.11.2016	46.04
07.11.2016	46.15
04.11.2016	45.58
03.11.2016	46.35
02.11.2016	46.86
01.11.2016	48.14
31.10.2016	48.3
28.10.2016	49.71
27.10.2016	50.47
26.10.2016	49.98
25.10.2016	50.79
24.10.2016	51.46
21.10.2016	51.78
20.10.2016	51.38
19.10.2016	52.67
18.10.2016	51.68
17.10.2016	51.52
14.10.2016	51.95
13.10.2016	52.03
12.10.2016	51.81
11.10.2016	52.41
10.10.2016	53.14
07.10.2016	51.93
06.10.2016	52.51
05.10.2016	51.86
04.10.2016	50.87
03.10.2016	50.89
30.09.2016	49.06
29.09.2016	49.24
28.09.2016	48.69
27.09.2016	45.97
26.09.2016	47.35
23.09.2016	45.89
22.09.2016	47.65
