date	USD	RUB	BRENT
2015-09-01 00:00:00	237.66	3.56	49.56
2015-09-02 00:00:00	234.94	3.6	50.5
2015-09-03 00:00:00	241.15	3.61	50.68
2015-09-04 00:00:00	239.76	3.58	49.61
2015-09-05 00:00:00	239.6	3.54	49.61
2015-09-06 00:00:00	239.6	3.54	49.61
2015-09-07 00:00:00	239.6	3.54	47.63
2015-09-08 00:00:00	243.1	3.55	49.52
2015-09-09 00:00:00	245.02	3.57	47.58
2015-09-10 00:00:00	245.23	3.62	48.89
2015-09-11 00:00:00	253.0	3.72	48.14
2015-09-12 00:00:00	252.14	3.7	48.14
2015-09-13 00:00:00	252.14	3.7	48.14
2015-09-14 00:00:00	252.14	3.7	46.37
2015-09-15 00:00:00	273.55	4.03	46.63
2015-09-16 00:00:00	276.83	4.14	49.75
2015-09-17 00:00:00	283.98	4.33	49.08
2015-09-18 00:00:00	270.11	4.12	47.47
2015-09-19 00:00:00	270.69	4.09	47.47
2015-09-20 00:00:00	270.69	4.09	47.47
2015-09-21 00:00:00	270.69	4.09	48.92
2015-09-22 00:00:00	270.46	4.08	49.08
2015-09-23 00:00:00	269.96	4.08	47.75
2015-09-24 00:00:00	264.12	4.0	48.17
2015-09-25 00:00:00	264.12	4.0	48.6
2015-09-26 00:00:00	269.81	4.11	48.6
2015-09-27 00:00:00	269.81	4.11	48.6
2015-09-28 00:00:00	269.81	4.11	47.34
2015-09-29 00:00:00	269.99	4.11	48.23
2015-09-30 00:00:00	270.4	4.09	48.37
2015-10-01 00:00:00	270.89	4.13	47.69
2015-10-02 00:00:00	270.9	4.16	48.13
2015-10-03 00:00:00	271.05	4.1	48.13
2015-10-04 00:00:00	271.05	4.1	48.13
2015-10-05 00:00:00	271.05	4.1	49.25
2015-10-06 00:00:00	271.5	4.15	51.92
2015-10-07 00:00:00	272.95	4.21	51.33
2015-10-08 00:00:00	273.53	4.39	53.05
2015-10-09 00:00:00	274.0	4.4	52.65
2015-10-10 00:00:00	274.41	4.46	52.65
2015-10-11 00:00:00	274.41	4.46	52.65
2015-10-12 00:00:00	274.41	4.46	49.86
2015-10-13 00:00:00	274.95	4.51	49.24
2015-10-14 00:00:00	275.47	4.42	49.15
2015-10-15 00:00:00	275.99	4.37	48.71
2015-10-16 00:00:00	277.05	4.47	50.46
2015-10-17 00:00:00	276.1	4.5	50.46
2015-10-18 00:00:00	276.1	4.5	50.46
2015-10-19 00:00:00	276.1	4.5	48.61
2015-10-20 00:00:00	276.88	4.49	48.71
2015-10-21 00:00:00	277.1	4.45	47.85
2015-10-22 00:00:00	277.51	4.41	48.08
2015-10-23 00:00:00	278.21	4.44	47.99
2015-10-24 00:00:00	277.51	4.47	47.99
2015-10-25 00:00:00	277.51	4.47	47.99
2015-10-26 00:00:00	277.51	4.47	47.54
2015-10-27 00:00:00	278.55	4.47	46.81
2015-10-28 00:00:00	278.92	4.39	49.05
2015-10-29 00:00:00	279.21	4.32	48.8
2015-10-30 00:00:00	279.21	4.32	49.56
2015-10-31 00:00:00	279.18	4.35	49.56
2015-11-01 00:00:00	279.18	4.35	49.56
2015-11-02 00:00:00	279.18	4.35	48.79
2015-11-03 00:00:00	280.37	4.39	50.54
2015-11-04 00:00:00	282.7	4.42	48.58
2015-11-05 00:00:00	284.28	4.52	47.98
2015-11-06 00:00:00	298.92	4.73	47.42
2015-11-07 00:00:00	307.53	4.83	47.42
2015-11-08 00:00:00	307.53	4.83	47.42
2015-11-09 00:00:00	307.53	4.83	47.19
2015-11-10 00:00:00	312.65	4.85	47.44
2015-11-11 00:00:00	306.74	4.77	45.81
2015-11-12 00:00:00	306.85	4.76	44.06
2015-11-13 00:00:00	306.57	4.69	43.61
2015-11-14 00:00:00	307.73	4.62	43.61
2015-11-15 00:00:00	307.73	4.62	43.61
2015-11-16 00:00:00	307.73	4.62	44.56
2015-11-17 00:00:00	308.36	4.67	43.57
2015-11-18 00:00:00	307.62	4.69	44.14
2015-11-19 00:00:00	307.68	4.76	44.18
2015-11-20 00:00:00	307.4	4.73	44.66
2015-11-21 00:00:00	307.32	4.73	44.66
2015-11-22 00:00:00	307.32	4.73	44.66
2015-11-23 00:00:00	307.32	4.73	44.83
2015-11-24 00:00:00	307.21	4.67	46.12
2015-11-25 00:00:00	307.13	4.67	46.17
2015-11-26 00:00:00	307.08	4.69	45.46
2015-11-27 00:00:00	307.21	4.68	44.86
2015-11-28 00:00:00	307.2	4.64	44.86
2015-11-29 00:00:00	307.2	4.64	44.86
2015-11-30 00:00:00	307.2	4.64	44.61
2015-12-01 00:00:00	307.4	4.61	44.44
2015-12-02 00:00:00	307.4	4.61	42.49
2015-12-03 00:00:00	307.76	4.61	43.84
2015-12-04 00:00:00	307.93	4.54	43.0
2015-12-05 00:00:00	307.08	4.54	43.0
2015-12-06 00:00:00	307.08	4.54	43.0
2015-12-07 00:00:00	307.08	4.54	40.73
2015-12-08 00:00:00	307.04	4.48	40.26
2015-12-09 00:00:00	307.87	4.43	40.11
2015-12-10 00:00:00	309.12	4.47	39.73
2015-12-11 00:00:00	310.37	4.49	37.93
2015-12-12 00:00:00	311.92	4.49	37.93
2015-12-13 00:00:00	311.92	4.49	37.93
2015-12-14 00:00:00	311.92	4.49	37.92
2015-12-15 00:00:00	322.47	4.59	38.45
2015-12-16 00:00:00	337.8	4.79	37.19
2015-12-17 00:00:00	337.8	4.79	37.06
2015-12-18 00:00:00	337.8	4.79	36.88
2015-12-19 00:00:00	341.94	4.79	36.88
2015-12-20 00:00:00	341.94	4.79	36.88
2015-12-21 00:00:00	341.94	4.79	36.35
2015-12-22 00:00:00	349.12	4.91	36.11
2015-12-23 00:00:00	336.66	4.74	37.36
2015-12-24 00:00:00	331.59	4.68	37.89
2015-12-25 00:00:00	325.8	4.67	37.89
2015-12-26 00:00:00	326.38	4.65	37.89
2015-12-27 00:00:00	326.38	4.65	37.89
2015-12-28 00:00:00	326.38	4.65	36.62
2015-12-29 00:00:00	331.38	4.64	37.79
2015-12-30 00:00:00	337.66	4.64	36.46
2015-12-31 00:00:00	339.47	4.65	37.28
2016-01-01 00:00:00	340.01	4.61	37.28
2016-01-02 00:00:00	340.01	4.61	37.28
2016-01-03 00:00:00	340.01	4.61	37.28
2016-01-04 00:00:00	340.01	4.61	37.22
2016-01-05 00:00:00	340.01	4.61	36.42
2016-01-06 00:00:00	343.14	4.67	34.23
2016-01-07 00:00:00	345.01	4.66	33.75
2016-01-08 00:00:00	345.01	4.66	33.55
2016-01-09 00:00:00	351.88	4.76	33.55
2016-01-10 00:00:00	351.88	4.76	33.55
2016-01-11 00:00:00	351.88	4.76	31.55
2016-01-12 00:00:00	356.88	4.74	30.86
2016-01-13 00:00:00	365.07	4.79	30.31
2016-01-14 00:00:00	364.89	4.78	31.03
2016-01-15 00:00:00	365.23	4.77	28.94
2016-01-16 00:00:00	360.9	4.68	28.94
2016-01-17 00:00:00	360.9	4.68	28.94
2016-01-18 00:00:00	360.9	4.68	28.55
2016-01-19 00:00:00	374.31	4.76	28.76
2016-01-20 00:00:00	377.7	4.82	27.88
2016-01-21 00:00:00	374.6	4.69	29.25
2016-01-22 00:00:00	383.91	4.56	32.18
2016-01-23 00:00:00	381.16	4.76	32.18
2016-01-24 00:00:00	381.16	4.76	32.18
2016-01-25 00:00:00	381.16	4.76	30.5
2016-01-26 00:00:00	372.89	4.73	31.8
2016-01-27 00:00:00	380.3	4.72	33.1
2016-01-28 00:00:00	375.49	4.77	33.89
2016-01-29 00:00:00	371.55	4.88	34.74
2016-01-30 00:00:00	364.79	4.83	34.74
2016-01-31 00:00:00	364.79	4.83	34.74
2016-02-01 00:00:00	364.79	4.83	34.24
2016-02-02 00:00:00	360.45	4.75	32.72
2016-02-03 00:00:00	369.15	4.67	35.04
2016-02-04 00:00:00	375.25	4.77	34.46
2016-02-05 00:00:00	363.34	4.77	34.06
2016-02-06 00:00:00	363.72	4.74	34.06
2016-02-07 00:00:00	363.72	4.74	34.06
2016-02-08 00:00:00	363.72	4.74	32.88
2016-02-09 00:00:00	359.89	4.67	30.32
2016-02-10 00:00:00	360.37	4.59	30.84
2016-02-11 00:00:00	362.23	4.59	30.06
2016-02-12 00:00:00	360.31	4.54	33.36
2016-02-13 00:00:00	368.17	4.64	33.36
2016-02-14 00:00:00	368.17	4.64	33.36
2016-02-15 00:00:00	368.17	4.64	33.39
2016-02-16 00:00:00	362.1	4.66	32.18
2016-02-17 00:00:00	357.71	4.63	34.5
2016-02-18 00:00:00	359.23	4.65	34.28
2016-02-19 00:00:00	350.58	4.67	33.01
2016-02-20 00:00:00	355.45	4.65	33.01
2016-02-21 00:00:00	355.45	4.65	33.01
2016-02-22 00:00:00	355.45	4.65	34.69
2016-02-23 00:00:00	351.77	4.63	33.27
2016-02-24 00:00:00	348.69	4.6	34.41
2016-02-25 00:00:00	348.96	4.52	35.29
2016-02-26 00:00:00	350.25	4.59	35.1
2016-02-27 00:00:00	349.82	4.68	35.1
2016-02-28 00:00:00	349.82	4.68	35.1
2016-02-29 00:00:00	349.82	4.68	35.97
2016-03-01 00:00:00	348.78	4.58	36.81
2016-03-02 00:00:00	347.96	4.72	36.93
2016-03-03 00:00:00	346.56	4.68	37.07
2016-03-04 00:00:00	345.65	4.69	38.72
2016-03-05 00:00:00	345.22	4.7	38.72
2016-03-06 00:00:00	345.02	4.8	38.72
2016-03-07 00:00:00	345.02	4.8	40.84
2016-03-08 00:00:00	345.02	4.8	39.65
2016-03-09 00:00:00	345.02	4.8	41.07
2016-03-10 00:00:00	344.8	4.77	40.05
2016-03-11 00:00:00	344.19	4.86	40.39
2016-03-12 00:00:00	343.92	4.91	40.39
2016-03-13 00:00:00	343.92	4.91	40.39
2016-03-14 00:00:00	343.92	4.91	39.53
2016-03-15 00:00:00	343.32	4.89	38.74
2016-03-16 00:00:00	343.23	4.85	40.33
2016-03-17 00:00:00	346.61	4.89	41.54
2016-03-18 00:00:00	346.05	5.05	41.2
2016-03-19 00:00:00	345.73	5.04	41.2
2016-03-20 00:00:00	345.73	5.04	41.2
2016-03-21 00:00:00	345.73	5.04	41.54
2016-03-22 00:00:00	345.73	5.04	41.79
2016-03-23 00:00:00	345.73	5.04	40.47
2016-03-24 00:00:00	345.73	5.04	40.44
2016-03-25 00:00:00	346.97	5.0	40.44
2016-03-26 00:00:00	343.83	5.06	40.44
2016-03-27 00:00:00	343.83	5.06	40.44
2016-03-28 00:00:00	343.83	5.06	40.27
2016-03-29 00:00:00	340.15	5.01	39.14
2016-03-30 00:00:00	341.51	4.96	39.26
2016-03-31 00:00:00	343.06	5.08	39.6
2016-04-01 00:00:00	343.62	5.1	38.67
2016-04-02 00:00:00	342.49	5.06	38.67
2016-04-03 00:00:00	342.49	5.06	38.67
2016-04-04 00:00:00	342.49	5.06	37.69
2016-04-05 00:00:00	344.0	5.04	37.87
2016-04-06 00:00:00	345.52	5.01	39.84
2016-04-07 00:00:00	344.54	5.02	39.43
2016-04-08 00:00:00	341.19	5.03	41.94
2016-04-09 00:00:00	340.31	5.06	41.94
2016-04-10 00:00:00	340.31	5.06	41.94
2016-04-11 00:00:00	340.31	5.06	42.83
2016-04-12 00:00:00	336.87	5.03	44.69
2016-04-13 00:00:00	335.64	5.06	44.18
2016-04-14 00:00:00	333.76	5.11	43.84
2016-04-15 00:00:00	334.7	5.06	43.1
2016-04-16 00:00:00	334.41	5.06	43.1
2016-04-17 00:00:00	334.41	5.06	43.1
2016-04-18 00:00:00	334.41	5.06	42.91
2016-04-19 00:00:00	340.23	5.05	44.03
2016-04-20 00:00:00	337.99	5.16	45.8
2016-04-21 00:00:00	337.14	5.15	44.53
2016-04-22 00:00:00	332.51	5.1	45.11
2016-04-23 00:00:00	334.59	5.05	45.11
2016-04-24 00:00:00	334.59	5.05	45.11
2016-04-25 00:00:00	334.59	5.05	44.48
2016-04-26 00:00:00	333.81	5.02	45.74
2016-04-27 00:00:00	333.26	5.02	47.18
2016-04-28 00:00:00	331.08	5.08	48.14
2016-04-29 00:00:00	330.41	5.1	48.13
2016-04-30 00:00:00	327.66	5.09	48.13
2016-05-01 00:00:00	327.66	5.09	48.13
2016-05-02 00:00:00	327.66	5.09	45.83
2016-05-03 00:00:00	327.66	5.09	44.97
2016-05-04 00:00:00	329.21	5.03	44.62
2016-05-05 00:00:00	332.51	5.01	45.01
2016-05-06 00:00:00	335.71	5.09	45.37
2016-05-07 00:00:00	334.6	5.05	45.37
2016-05-08 00:00:00	334.6	5.05	45.37
2016-05-09 00:00:00	334.6	5.05	43.63
2016-05-10 00:00:00	334.6	5.05	45.52
2016-05-11 00:00:00	334.6	5.05	47.6
2016-05-12 00:00:00	333.23	5.04	48.08
2016-05-13 00:00:00	329.79	5.09	47.83
2016-05-14 00:00:00	329.11	5.05	47.83
2016-05-15 00:00:00	329.11	5.05	47.83
2016-05-16 00:00:00	329.11	5.05	48.97
2016-05-17 00:00:00	327.88	5.04	49.28
2016-05-18 00:00:00	328.07	5.08	48.93
2016-05-19 00:00:00	329.89	5.05	48.81
2016-05-20 00:00:00	334.89	5.04	48.72
2016-05-21 00:00:00	335.01	5.02	48.72
2016-05-22 00:00:00	335.01	5.02	48.72
2016-05-23 00:00:00	335.01	5.02	48.35
2016-05-24 00:00:00	336.37	5.01	48.61
2016-05-25 00:00:00	336.48	5.03	49.74
2016-05-26 00:00:00	336.24	5.1	49.59
2016-05-27 00:00:00	333.09	5.11	49.32
2016-05-28 00:00:00	335.48	5.08	49.32
2016-05-29 00:00:00	335.48	5.08	49.32
2016-05-30 00:00:00	335.48	5.08	49.76
2016-05-31 00:00:00	336.73	5.1	49.69
2016-06-01 00:00:00	335.84	5.09	49.72
2016-06-02 00:00:00	336.86	5.03	50.04
2016-06-03 00:00:00	337.71	5.06	49.64
2016-06-04 00:00:00	337.77	5.04	49.64
2016-06-05 00:00:00	337.77	5.04	49.64
2016-06-06 00:00:00	337.77	5.04	50.55
2016-06-07 00:00:00	335.1	5.1	51.44
2016-06-08 00:00:00	333.88	5.14	52.51
2016-06-09 00:00:00	331.59	5.14	51.95
2016-06-10 00:00:00	330.16	5.15	50.54
2016-06-11 00:00:00	333.97	5.16	50.54
2016-06-12 00:00:00	333.97	5.16	50.54
2016-06-13 00:00:00	333.97	5.16	50.35
2016-06-14 00:00:00	335.81	5.1	49.83
2016-06-15 00:00:00	337.65	5.11	48.97
2016-06-16 00:00:00	338.75	5.15	47.19
2016-06-17 00:00:00	337.96	5.13	49.17
2016-06-18 00:00:00	338.59	5.19	49.17
2016-06-19 00:00:00	338.59	5.19	49.17
2016-06-20 00:00:00	338.59	5.19	50.65
2016-06-21 00:00:00	335.89	5.24	50.62
2016-06-22 00:00:00	335.87	5.24	49.88
2016-06-23 00:00:00	336.73	5.26	50.91
2016-06-24 00:00:00	336.63	5.26	48.41
2016-06-25 00:00:00	339.69	5.2	48.41
2016-06-26 00:00:00	339.69	5.2	48.41
2016-06-27 00:00:00	339.69	5.2	47.16
2016-06-28 00:00:00	339.1	5.22	48.58
2016-06-29 00:00:00	339.12	5.25	50.61
2016-06-30 00:00:00	338.87	5.29	49.68
2016-07-01 00:00:00	338.66	5.28	50.35
2016-07-02 00:00:00	338.04	5.27	50.35
2016-07-03 00:00:00	338.04	5.27	50.35
2016-07-04 00:00:00	338.04	5.27	50.1
2016-07-05 00:00:00	337.39	5.28	47.96
2016-07-06 00:00:00	337.07	5.25	48.8
2016-07-07 00:00:00	337.07	5.25	46.4
2016-07-08 00:00:00	337.26	5.27	46.76
2016-07-09 00:00:00	338.46	5.28	46.76
2016-07-10 00:00:00	338.46	5.28	46.76
2016-07-11 00:00:00	338.46	5.28	46.25
2016-07-12 00:00:00	337.71	5.26	48.47
2016-07-13 00:00:00	338.51	5.3	46.26
2016-07-14 00:00:00	338.35	5.3	47.37
2016-07-15 00:00:00	338.95	5.36	47.61
2016-07-16 00:00:00	338.52	5.36	47.61
2016-07-17 00:00:00	338.52	5.36	47.61
2016-07-18 00:00:00	338.52	5.36	46.96
2016-07-19 00:00:00	338.88	5.37	46.66
2016-07-20 00:00:00	338.72	5.38	47.17
2016-07-21 00:00:00	339.9	5.37	46.2
2016-07-22 00:00:00	342.23	5.36	45.69
2016-07-23 00:00:00	341.51	5.3	45.69
2016-07-24 00:00:00	341.51	5.3	45.69
2016-07-25 00:00:00	341.51	5.3	44.72
2016-07-26 00:00:00	343.88	5.3	44.87
2016-07-27 00:00:00	350.2	5.31	43.47
2016-07-28 00:00:00	352.13	5.33	42.7
2016-07-29 00:00:00	352.75	5.32	42.46
2016-07-30 00:00:00	352.25	5.26	42.46
2016-07-31 00:00:00	352.25	5.26	42.46
2016-08-01 00:00:00	352.25	5.26	42.14
2016-08-02 00:00:00	352.1	5.32	41.8
2016-08-03 00:00:00	353.7	5.31	43.1
2016-08-04 00:00:00	354.01	5.31	44.29
2016-08-05 00:00:00	352.06	5.3	44.27
2016-08-06 00:00:00	348.97	5.34	44.27
2016-08-07 00:00:00	348.97	5.34	44.27
2016-08-08 00:00:00	348.97	5.34	45.39
2016-08-09 00:00:00	348.35	5.37	44.98
2016-08-10 00:00:00	345.89	5.35	44.05
2016-08-11 00:00:00	346.42	5.34	46.04
2016-08-12 00:00:00	347.18	5.37	46.97
2016-08-13 00:00:00	344.46	5.33	46.97
2016-08-14 00:00:00	344.46	5.33	46.97
2016-08-15 00:00:00	344.46	5.33	48.35
2016-08-16 00:00:00	343.39	5.34	49.23
2016-08-17 00:00:00	343.73	5.4	49.85
2016-08-18 00:00:00	341.2	5.33	50.89
2016-08-19 00:00:00	340.09	5.34	50.88
2016-08-20 00:00:00	338.51	5.29	50.88
2016-08-21 00:00:00	338.51	5.29	50.88
2016-08-22 00:00:00	338.51	5.29	49.16
2016-08-23 00:00:00	338.82	5.27	49.96
2016-08-24 00:00:00	341.0	5.27	49.05
2016-08-25 00:00:00	338.83	5.23	49.67
2016-08-26 00:00:00	339.5	5.23	49.92
2016-08-27 00:00:00	338.73	5.23	49.92
2016-08-28 00:00:00	338.73	5.23	49.92
2016-08-29 00:00:00	338.73	5.23	49.26
2016-08-30 00:00:00	338.98	5.21	48.37
2016-08-31 00:00:00	338.98	5.21	47.04
2016-09-01 00:00:00	340.1	5.22	45.45
2016-09-02 00:00:00	341.06	5.22	46.83
2016-09-03 00:00:00	341.97	5.2	46.83
2016-09-04 00:00:00	341.97	5.2	46.83
2016-09-05 00:00:00	341.97	5.2	47.63
2016-09-06 00:00:00	340.9	5.27	47.26
2016-09-07 00:00:00	339.8	5.25	47.98
2016-09-08 00:00:00	337.57	5.25	49.99
2016-09-09 00:00:00	337.16	5.27	48.01
2016-09-10 00:00:00	337.41	5.26	48.01
2016-09-11 00:00:00	337.41	5.26	48.01
2016-09-12 00:00:00	337.41	5.26	48.32
2016-09-13 00:00:00	337.41	5.26	47.1
2016-09-14 00:00:00	337.64	5.21	45.85
2016-09-15 00:00:00	338.86	5.21	46.59
2016-09-16 00:00:00	339.5	5.23	45.77
2016-09-17 00:00:00	339.5	5.22	45.77
2016-09-18 00:00:00	339.5	5.22	45.77
2016-09-19 00:00:00	339.5	5.22	45.95
2016-09-20 00:00:00	339.35	5.24	45.88
2016-09-21 00:00:00	339.4	5.23	46.83
2016-09-22 00:00:00	338.96	5.26	47.65
2016-09-23 00:00:00	337.78	5.29	45.89
2016-09-24 00:00:00	337.37	5.3	45.89
2016-09-25 00:00:00	337.37	5.3	45.89
2016-09-26 00:00:00	337.37	5.3	47.35
2016-09-27 00:00:00	337.56	5.27	45.97
2016-09-28 00:00:00	337.16	5.29	48.69
2016-09-29 00:00:00	336.99	5.27	49.24
2016-09-30 00:00:00	334.93	5.3	49.06
