date	USD	RUB	BRENT
2008-01-02 00:00:00	120.3	4.92	97.84
2008-01-02 00:00:00	120.3	4.92	97.84
2008-01-03 00:00:00	120.3	4.92	97.6
2008-01-04 00:00:00	120.37	4.92	96.79
2008-01-05 00:00:00	120.55	4.93	96.79
2008-01-06 00:00:00	120.55	4.93	96.79
2008-01-07 00:00:00	120.55	4.93	94.39
2008-01-08 00:00:00	120.55	4.93	95.54
2008-01-09 00:00:00	120.65	4.93	94.37
2008-01-10 00:00:00	120.63	4.94	92.22
2008-01-11 00:00:00	120.58	4.93	91.07
2008-01-12 00:00:00	120.47	4.94	91.07
2008-01-13 00:00:00	120.47	4.94	91.07
2008-01-14 00:00:00	120.47	4.94	92.92
2008-01-15 00:00:00	120.45	4.96	90.98
2008-01-16 00:00:00	120.42	4.96	89.75
2008-01-17 00:00:00	120.24	4.94	88.75
2008-01-18 00:00:00	120.05	4.9	89.23
2008-01-19 00:00:00	120.22	4.91	89.23
2008-01-20 00:00:00	120.22	4.91	89.23
2008-01-21 00:00:00	120.22	4.91	87.51
2008-01-22 00:00:00	120.5	4.88	88.45
2008-01-23 00:00:00	120.36	4.87	86.62
2008-01-24 00:00:00	120.26	4.88	89.07
2008-01-25 00:00:00	120.22	4.88	90.9
2008-01-26 00:00:00	120.12	4.91	90.9
2008-01-27 00:00:00	120.12	4.91	90.9
2008-01-28 00:00:00	120.12	4.91	91.38
2008-01-29 00:00:00	120.19	4.9	92.0
2008-01-30 00:00:00	120.25	4.91	92.53
2008-01-31 00:00:00	120.22	4.91	92.21
2008-02-01 00:00:00	120.21	4.92	89.44
2008-02-02 00:00:00	120.11	4.92	89.44
2008-02-03 00:00:00	120.11	4.92	89.44
2008-02-04 00:00:00	120.11	4.92	90.47
2008-02-05 00:00:00	120.19	4.91	88.82
2008-02-06 00:00:00	120.35	4.9	87.78
2008-02-07 00:00:00	120.38	4.88	88.51
2008-02-08 00:00:00	120.24	4.88	91.94
2008-02-09 00:00:00	120.35	4.86	91.94
2008-02-10 00:00:00	120.35	4.86	91.94
2008-02-11 00:00:00	120.35	4.86	93.53
2008-02-12 00:00:00	120.35	4.88	92.86
2008-02-13 00:00:00	120.37	4.88	93.32
2008-02-14 00:00:00	120.32	4.88	95.09
2008-02-15 00:00:00	120.15	4.88	94.63
2008-02-16 00:00:00	120.25	4.89	94.63
2008-02-17 00:00:00	120.25	4.89	94.63
2008-02-18 00:00:00	120.25	4.89	94.91
2008-02-19 00:00:00	120.07	4.88	98.56
2008-02-20 00:00:00	120.19	4.89	98.42
2008-02-21 00:00:00	120.12	4.89	96.24
2008-02-22 00:00:00	120.22	4.9	97.01
2008-02-23 00:00:00	120.39	4.93	97.01
2008-02-24 00:00:00	120.39	4.93	97.01
2008-02-25 00:00:00	120.39	4.93	97.69
2008-02-26 00:00:00	120.5	4.93	99.47
2008-02-27 00:00:00	120.75	4.94	98.27
2008-02-28 00:00:00	120.77	5.0	100.9
2008-02-29 00:00:00	120.87	5.02	100.1
2008-03-01 00:00:00	120.85	5.03	100.1
2008-03-02 00:00:00	120.85	5.03	100.1
2008-03-03 00:00:00	120.85	5.03	100.48
2008-03-04 00:00:00	120.68	5.02	97.52
2008-03-05 00:00:00	120.77	5.02	101.64
2008-03-06 00:00:00	120.82	5.02	102.61
2008-03-07 00:00:00	120.66	5.05	102.38
2008-03-08 00:00:00	120.66	5.07	102.38
2008-03-09 00:00:00	120.66	5.07	102.38
2008-03-10 00:00:00	120.66	5.07	104.16
2008-03-11 00:00:00	120.66	5.07	105.25
2008-03-12 00:00:00	120.65	5.06	106.27
2008-03-13 00:00:00	120.74	5.06	107.54
2008-03-14 00:00:00	120.6	5.1	107.55
2008-03-15 00:00:00	120.48	5.09	107.55
2008-03-16 00:00:00	120.48	5.09	107.55
2008-03-17 00:00:00	120.48	5.09	101.75
2008-03-18 00:00:00	120.68	5.14	105.56
2008-03-19 00:00:00	120.72	5.13	100.72
2008-03-20 00:00:00	120.71	5.13	100.38
2008-03-21 00:00:00	120.45	5.08	100.38
2008-03-22 00:00:00	120.42	5.07	100.38
2008-03-23 00:00:00	120.42	5.07	100.38
2008-03-24 00:00:00	120.42	5.07	99.86
2008-03-25 00:00:00	120.42	5.07	100.6
2008-03-26 00:00:00	120.65	5.09	103.99
2008-03-27 00:00:00	120.78	5.11	105.0
2008-03-28 00:00:00	120.68	5.13	103.77
2008-03-29 00:00:00	120.69	5.13	103.77
2008-03-30 00:00:00	120.69	5.13	103.77
2008-03-31 00:00:00	120.69	5.13	100.3
2008-04-01 00:00:00	120.69	5.14	100.17
2008-04-02 00:00:00	120.6	5.11	103.75
2008-04-03 00:00:00	120.6	5.11	102.52
2008-04-04 00:00:00	120.47	5.09	104.9
2008-04-05 00:00:00	120.61	5.12	104.9
2008-04-06 00:00:00	120.61	5.12	104.9
2008-04-07 00:00:00	120.61	5.12	107.14
2008-04-08 00:00:00	120.56	5.12	106.34
2008-04-09 00:00:00	120.55	5.13	108.47
2008-04-10 00:00:00	120.57	5.12	108.2
2008-04-11 00:00:00	120.53	5.15	108.75
2008-04-12 00:00:00	120.52	5.14	108.75
2008-04-13 00:00:00	120.52	5.14	108.75
2008-04-14 00:00:00	120.52	5.14	109.84
2008-04-15 00:00:00	120.44	5.13	111.31
2008-04-16 00:00:00	120.32	5.13	112.66
2008-04-17 00:00:00	120.26	5.14	112.43
2008-04-18 00:00:00	120.45	5.16	113.92
2008-04-19 00:00:00	120.57	5.16	113.92
2008-04-20 00:00:00	120.57	5.16	113.92
2008-04-21 00:00:00	120.57	5.16	114.43
2008-04-22 00:00:00	120.54	5.15	115.95
2008-04-23 00:00:00	120.45	5.16	116.46
2008-04-24 00:00:00	120.36	5.16	114.34
2008-04-25 00:00:00	120.44	5.12	116.34
2008-04-26 00:00:00	120.49	5.09	116.34
2008-04-27 00:00:00	120.49	5.09	116.34
2008-04-28 00:00:00	120.49	5.09	116.74
2008-04-29 00:00:00	120.52	5.11	113.43
2008-04-30 00:00:00	120.39	5.09	111.36
2008-05-01 00:00:00	120.38	5.08	110.5
2008-05-02 00:00:00	120.38	5.08	114.56
2008-05-03 00:00:00	120.38	5.08	114.56
2008-05-04 00:00:00	120.38	5.08	114.56
2008-05-05 00:00:00	120.36	5.06	117.99
2008-05-06 00:00:00	120.48	5.07	120.31
2008-05-07 00:00:00	120.48	5.08	122.32
2008-05-08 00:00:00	120.5	5.07	122.84
2008-05-09 00:00:00	120.56	5.05	125.4
2008-05-10 00:00:00	120.56	5.05	125.4
2008-05-11 00:00:00	120.56	5.05	125.4
2008-05-12 00:00:00	120.56	5.05	122.91
2008-05-13 00:00:00	120.56	5.07	124.1
2008-05-14 00:00:00	120.61	5.07	121.86
2008-05-15 00:00:00	120.57	5.05	121.25
2008-05-16 00:00:00	120.74	5.06	124.99
2008-05-17 00:00:00	120.7	5.07	124.99
2008-05-18 00:00:00	120.7	5.07	124.99
2008-05-19 00:00:00	120.7	5.07	125.06
2008-05-20 00:00:00	120.69	5.09	127.84
2008-05-21 00:00:00	120.61	5.09	132.7
2008-05-22 00:00:00	120.59	5.1	130.51
2008-05-23 00:00:00	120.58	5.11	131.57
2008-05-24 00:00:00	120.59	5.11	131.57
2008-05-25 00:00:00	120.59	5.11	131.57
2008-05-26 00:00:00	120.59	5.11	132.37
2008-05-27 00:00:00	120.53	5.12	128.31
2008-05-28 00:00:00	120.58	5.12	130.93
2008-05-29 00:00:00	120.54	5.11	126.89
2008-05-30 00:00:00	120.47	5.09	127.78
2008-05-31 00:00:00	120.57	5.08	127.78
2008-06-01 00:00:00	120.57	5.08	127.78
2008-06-02 00:00:00	120.57	5.08	128.02
2008-06-03 00:00:00	120.65	5.09	124.58
2008-06-04 00:00:00	120.74	5.11	122.1
2008-06-05 00:00:00	120.73	5.07	127.54
2008-06-06 00:00:00	120.67	5.07	137.69
2008-06-07 00:00:00	120.61	5.1	137.69
2008-06-08 00:00:00	120.61	5.1	137.69
2008-06-09 00:00:00	120.61	5.1	133.91
2008-06-10 00:00:00	120.7	5.13	131.02
2008-06-11 00:00:00	120.7	5.11	135.02
2008-06-12 00:00:00	120.72	5.1	136.09
2008-06-13 00:00:00	120.75	5.09	134.25
2008-06-14 00:00:00	120.67	5.08	134.25
2008-06-15 00:00:00	120.67	5.08	134.25
2008-06-16 00:00:00	120.67	5.08	134.71
2008-06-17 00:00:00	120.69	5.09	133.72
2008-06-18 00:00:00	120.72	5.1	136.44
2008-06-19 00:00:00	120.63	5.1	132.0
2008-06-20 00:00:00	120.71	5.1	134.86
2008-06-21 00:00:00	120.72	5.11	134.86
2008-06-22 00:00:00	120.72	5.11	134.86
2008-06-23 00:00:00	120.72	5.11	135.91
2008-06-24 00:00:00	120.72	5.11	136.46
2008-06-25 00:00:00	120.77	5.12	134.33
2008-06-26 00:00:00	120.84	5.12	139.83
2008-06-27 00:00:00	120.74	5.14	140.31
2008-06-28 00:00:00	120.75	5.14	140.31
2008-06-29 00:00:00	120.75	5.14	140.31
2008-06-30 00:00:00	120.75	5.14	139.83
2008-07-01 00:00:00	120.75	5.16	140.67
2008-07-02 00:00:00	120.65	5.14	144.26
2008-07-03 00:00:00	120.58	5.15	146.08
2008-07-04 00:00:00	120.56	5.16	144.42
2008-07-05 00:00:00	120.54	5.12	144.42
2008-07-06 00:00:00	120.54	5.12	144.42
2008-07-07 00:00:00	120.54	5.12	141.87
2008-07-08 00:00:00	120.54	5.12	136.43
2008-07-09 00:00:00	120.48	5.13	136.58
2008-07-10 00:00:00	120.38	5.14	142.03
2008-07-11 00:00:00	120.2	5.13	144.49
2008-07-12 00:00:00	120.21	5.15	144.49
2008-07-13 00:00:00	120.21	5.15	144.49
2008-07-14 00:00:00	120.21	5.15	143.92
2008-07-15 00:00:00	120.2	5.17	138.75
2008-07-16 00:00:00	120.06	5.2	136.19
2008-07-17 00:00:00	120.05	5.18	131.07
2008-07-18 00:00:00	120.14	5.17	130.19
2008-07-19 00:00:00	120.19	5.18	130.19
2008-07-20 00:00:00	120.19	5.18	130.19
2008-07-21 00:00:00	120.19	5.18	132.61
2008-07-22 00:00:00	120.2	5.18	129.55
2008-07-23 00:00:00	120.18	5.18	125.29
2008-07-24 00:00:00	120.16	5.15	126.44
2008-07-25 00:00:00	120.19	5.14	124.52
2008-07-26 00:00:00	120.17	5.15	124.52
2008-07-27 00:00:00	120.17	5.15	124.52
2008-07-28 00:00:00	120.17	5.15	125.84
2008-07-29 00:00:00	120.18	5.15	122.71
2008-07-30 00:00:00	120.18	5.15	127.1
2008-07-31 00:00:00	120.19	5.13	123.98
2008-08-01 00:00:00	120.18	5.13	124.18
2008-08-02 00:00:00	120.17	5.12	124.18
2008-08-03 00:00:00	120.17	5.12	124.18
2008-08-04 00:00:00	120.17	5.12	120.68
2008-08-05 00:00:00	120.14	5.14	117.7
2008-08-06 00:00:00	120.11	5.12	117.0
2008-08-07 00:00:00	120.03	5.1	117.86
2008-08-08 00:00:00	120.08	5.09	113.33
2008-08-09 00:00:00	120.06	5.02	113.33
2008-08-10 00:00:00	120.06	5.02	113.33
2008-08-11 00:00:00	120.06	5.02	112.67
2008-08-12 00:00:00	120.14	4.94	111.15
2008-08-13 00:00:00	120.17	4.97	113.47
2008-08-14 00:00:00	120.05	4.97	112.64
2008-08-15 00:00:00	120.15	4.95	112.55
2008-08-16 00:00:00	120.15	4.9	112.55
2008-08-17 00:00:00	120.15	4.9	112.55
2008-08-18 00:00:00	120.15	4.9	111.94
